entry_threshold,stop_loss_pct,take_profit_pct,min_confidence,sharpe,max_dd_pct,total_ret_pct,n_trades
0.14,0.05,0.06,0.5,0.6704428420520328,-73.67487276733506,-5.340872548316455,515
0.14,0.03,0.12,0.4,0.6685047635449833,-71.66531956385143,-6.083116925637555,525
0.16,0.02,0.1,0.4,0.6662561744647681,-68.92853693248955,-2.3417793980593515,517
0.12,0.04,0.06,0.45,0.6659257249258366,-76.88227836381685,-45.74532445748969,629
0.16,0.03,0.08,0.45,0.6642146881370427,-69.00473558295593,-7.244824386776538,498
0.12,0.02,0.08,0.5,0.6628850470762073,-71.65787524357322,-35.01686786812805,700
0.16,0.02,0.12,0.4,0.6627254432904252,-69.10006816442176,-3.6756112104378125,495
0.08,0.02,0.08,0.4,0.6617544324705278,-76.83274986671063,-60.0952792707468,922
0.12,0.04,0.1,0.45,0.6612864198742892,-76.89840903426307,-35.940597172849465,554
0.08,0.03,0.06,0.4,0.6607515058297664,-80.06609522634757,-57.51249722708184,889
0.12,0.02,0.12,0.5,0.6605603395606007,-72.55945226216174,-29.76444268948186,637
0.08,0.03,0.1,0.4,0.6582609430294558,-78.33033413876167,-61.506996191955075,792
0.08,0.03,0.12,0.4,0.6573610448740321,-78.40312124790266,-59.84763150427468,776
0.14,0.03,0.06,0.5,0.65654760539486,-73.5952458129635,-11.097112393210573,582
0.12,0.05,0.06,0.5,0.6559309848612412,-74.61409312192727,-39.773498478394195,577
0.12,0.04,0.12,0.45,0.6557797429468372,-77.61115187171548,-36.527120467165076,543
0.16,0.04,0.12,0.5,0.6550283137010847,-70.26357963037832,-7.8581611711793675,398
0.16,0.05,0.1,0.5,0.6515288764088836,-70.46362269212037,-6.523218073514769,391
0.16,0.04,0.1,0.5,0.6511247948499791,-69.76574547332757,-9.548451505379463,409
0.12,0.03,0.12,0.5,0.6503094228251398,-70.68941430329372,-31.196995863323828,562
0.08,0.03,0.04,0.4,0.6498376776745913,-83.45243993533522,-71.83198054840018,1046
0.14,0.04,0.08,0.5,0.6482832942578506,-69.17743361014736,-8.499116077489843,502
0.16,0.03,0.12,0.5,0.647257016897625,-70.74712331326477,-9.276181187932675,425
0.14,0.03,0.06,0.45,0.6467128840031571,-73.22382606567982,-7.185371875385604,627
0.14,0.03,0.08,0.5,0.645515288375923,-69.90747731043395,-6.678603370708169,543
0.14,0.04,0.08,0.45,0.6434914856851117,-75.23353827240607,-10.031710502400182,527
0.14,0.03,0.08,0.45,0.6415897130787644,-73.9122284907472,-9.27124070874572,573
0.14,0.05,0.08,0.5,0.6411439395146423,-71.68224750445117,-4.411037141246188,473
0.08,0.04,0.08,0.4,0.6408464164747893,-78.52169589013582,-59.82816850395343,781
0.16,0.03,0.1,0.5,0.6395859517278554,-70.74395343051074,-11.760626502320736,434
0.08,0.04,0.06,0.4,0.6392957891096253,-79.38586753925468,-59.26358567651591,847
0.16,0.04,0.08,0.45,0.6378723335186193,-68.31632682274171,-5.311679718773954,467
0.14,0.05,0.1,0.4,0.6377360624151943,-72.03495003235169,-9.289229255436027,459
